"Ma","CO2"
1.1511,228.4
1.1527,229.93
1.1545,233.26
1.1564,229.11
1.158,234.7
1.1596,239.95
1.1612,240.19
1.1626,244.05
1.1638,242.79
1.1654,239.22
1.1667,238.97
1.1679,240.57
1.1691,238.12
1.1705,242.55
1.1717,246.68
1.173,242.8
1.1742,242.18
1.1754,245.04
1.1766,247.32
1.1778,241.19
1.1789,245.68
1.1801,246.43
1.1813,239.96
1.1825,238.49
1.1837,247.58
1.1851,241.19
1.1865,235.21
1.1875,242.8
1.1883,241.45
1.1895,231.13
1.1905,227.94
1.1913,235.57
1.1927,224.92
1.1939,218.73
1.1948,215.92
1.1957,218.17
1.1971,209.86
1.198,206.94
1.1994,206.84
1.2009,205.13
1.2023,199.96
1.2035,198.82
1.2046,201.74
1.2056,198.42
1.2065,199.86
1.2078,197.17
1.209,198.1
1.2102,196.26
1.2112,194.63
1.2123,191.71
1.2133,197.59
1.2143,202.9
1.2155,204.81
1.2165,214.27
1.2176,219.2
1.2184,222.39
1.2194,217.5
1.2207,221.7
1.2219,222.85
1.2232,229.14
1.2247,231.86
1.2259,240.11
1.2271,248.49
1.2287,253.88
1.2299,256.09
1.2311,263.3
1.2327,278.56
1.2339,268.01
1.2355,267.15
1.2371,263.72
1.2385,259.91
1.2402,259.24
1.2418,248.25
1.2426,241.85
1.2442,228.91
1.2456,220.69
1.2466,207.39
1.2477,204.94
1.2493,198.53
1.2501,202.71
1.251,197.71
1.2518,201.34
1.2526,200.83
1.2532,199.99
1.254,199.58
1.2549,202.61
1.2559,206.96
1.2572,213.74
1.2582,216.96
1.2598,219.45
1.2612,223.09
1.263,219.45
1.2645,220.01
1.2661,224.13
1.2673,231.65
1.2689,233.45
1.2699,236.1
1.2714,241.49
1.2729,239.88
1.2741,234.9
1.2755,239.52
1.2771,238.91
1.2785,232.25
1.2801,232.25
1.2817,229.41
1.2829,225.19
1.284,224.38
1.2852,221.62
1.2863,216.3
1.2877,212.09
1.289,205.38
1.2904,201.78
1.2914,200.95
1.2928,204.21
1.2939,207.63
1.2955,209.48
1.2971,211.54
1.2987,218.22
1.3002,222.65
1.3017,223.12
1.3028,230.36
1.3044,230.6
1.3061,231.79
1.3077,229.19
1.3098,229.3
1.3117,227.65
1.3133,229.66
1.3149,225.68
1.3165,226.03
1.3177,225.33
1.3195,229.07
1.3211,226.26
1.323,224.29
1.3244,223.25
1.3259,222.1
1.3272,217.56
1.3288,216.88
1.3301,215.99
1.3319,211.79
1.3335,211.9
1.3348,206.68
1.336,206.59
1.3373,207.55
1.3383,214.11
1.3396,220.85
1.3411,229.56
1.3423,232.29
1.3435,237.97
1.3449,239.44
1.3464,243.03
1.348,243.53
1.3501,253.31
1.3519,259.58
1.3535,260.77
1.3552,258.53
1.3566,261.57
1.3578,253.95
1.3592,246.04
1.3606,243.04
1.3615,237.24
1.3625,228.27
1.3635,223.39
1.3644,217.68
1.3652,219.04
1.3661,215.67
1.3671,213.45
1.3681,212.57
1.3692,212.14
1.3702,206.7
1.3716,211.37
1.373,213.46
1.3742,214
1.3757,219.61
1.3773,222.01
1.3787,215.57
1.3803,218.83
1.3821,225.47
1.3836,226.99
1.3852,229.7
1.3868,248.96
1.388,251.91
1.3894,250.11
1.3906,247.06
1.3921,250.88
1.3933,238.73
1.3949,245.05
1.3965,244.93
1.398,248.34
1.3995,250.5
1.4011,250.11
1.4027,236.66
1.4043,239.1
1.4058,236.79
1.4075,225.61
1.4091,222.61
1.4105,223.3
1.4121,217.5
1.4141,212.93
1.4158,215.36
1.4176,216.37
1.4198,217.38
1.4215,216.26
1.4229,215.03
1.4245,215.93
1.4264,226.09
1.428,235.22
1.4294,240.1
1.4312,251.03
1.4324,254
1.4336,246.83
1.4346,243.58
1.4362,246.58
1.4375,249.13
1.4395,252.32
1.4411,254.39
1.4429,255.7
1.4442,257.4
1.4457,258.31
1.4465,257.52
1.4479,258.45
1.4491,255.7
1.4504,253.75
1.4518,251.95
1.4534,250.28
1.4545,241.23
1.4558,231.99
1.457,221.94
1.4579,214.84
1.4587,210.42
1.4596,206.75
1.4604,205.89
1.4614,207.83
1.4624,205.89
1.4634,203.45
1.4647,212.29
1.4659,214.84
1.4669,218.31
1.4684,222.86
1.47,220.35
1.4716,221.61
1.4734,223.9
1.4752,230.22
1.4768,232.96
1.479,244.6
1.4808,246.99
1.483,254.29
1.485,254.81
1.4866,255.33
1.4882,249.78
1.4898,248.25
1.4908,242.11
1.4924,237.07
1.494,228.58
1.4948,226
1.496,211.98
1.4974,207.73
1.4983,201.46
1.4997,203.35
1.5011,200.64
1.5021,203.25
1.5033,205.7
1.5048,210.11
1.5058,206.34
1.507,205.59
1.5085,207.2
1.5097,204.95
1.5107,207.42
1.5119,210.89
1.5134,214.86
1.5143,219.23
1.5151,221.63
1.516,217.43
1.5171,219.92
1.518,224.97
1.5194,227.89
1.521,230.95
1.5225,236.72
1.5238,238.19
1.5253,238.43
1.5262,234.91
1.5278,222.32
1.5292,216.88
1.5307,210.13
1.5323,203.91
1.5345,204.33
1.536,208.4
1.5376,204.76
1.5395,205.4
1.5409,205.93
1.5419,201.17
1.5434,204.76
1.545,207.32
1.5462,208.84
1.5475,211.46
1.5491,215.99
1.5507,217.78
1.5523,220.06
1.5537,224.76
1.5552,227.21
1.5564,231.1
1.5574,235.65
1.5584,241.28
1.5598,246.16
1.5612,248.68
1.5624,247.54
1.5637,247.67
1.5648,242.28
1.5658,238.34
1.5666,234.21
1.568,231.22
1.569,226.04
1.57,224.53
1.571,218.02
1.5726,215.44
1.5738,209.83
1.5753,212.68
1.5769,208.97
1.5783,209.83
1.5796,208.42
1.5811,212.68
1.5825,209.18
1.5841,207.56
1.5857,210.05
1.5871,212.9
1.5887,215.68
1.5901,219.39
1.5917,228.99
1.5937,235.07
1.5957,235.08
1.5973,237.86
1.5989,235.44
1.6001,238.11
1.6013,237.37
1.6026,240.81
1.6039,241.68
1.6053,248.32
1.6073,248.58
1.609,246.93
1.6108,244.17
1.6127,242.18
1.6143,240.32
1.6157,235.45
1.617,233.87
1.618,235.33
1.6192,236.54
1.6205,231.37
1.6215,231.25
1.6229,231.72
1.6243,229.59
1.6255,224.79
1.6269,226.65
1.6285,226.2
1.6298,223.29
1.6312,225.03
1.6324,229.83
1.6337,232.21
1.6352,236.67
1.6367,243.94
1.6379,246.06
1.6397,242.57
1.6413,239.97
1.6426,234.61
1.6438,231.26
1.6454,227.25
1.6464,223.77
1.648,216.71
1.6492,212.71
1.6505,203.85
1.652,201.02
1.6536,199.24
1.6548,203.75
1.6564,205.23
1.6584,205.88
1.6599,207.71
1.6615,210.31
1.663,206.53
1.6646,210.1
1.6659,209.33
1.6674,212.28
1.6688,210.53
1.6701,217.63
1.6715,211.52
1.6728,218.87
1.6739,220.22
1.6754,228.91
1.6768,225.63
1.6778,233.55
1.6791,236.32
1.6805,238.04
1.6816,233.43
1.6828,236.33
1.6842,239.38
1.6854,234.63
1.6865,233.91
1.6875,233.8
1.6885,235.84
1.6895,230.11
1.6903,234.88
1.691,231.29
1.6922,233.8
1.6934,231.41
1.6942,231.41
1.6954,223.79
1.697,221.38
1.698,214.29
1.699,208.26
1.7006,206.96
1.7019,207.73
1.7029,211.64
1.7041,215.63
